"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
318,104.35,144.21,452.9,166.67,148.46,34.59,200,148.46,7.68
319,112.77,143.27,469.74,150,147.52,16.17,0,147.52,2.43
320,106.67,141.84,440.15,100,146.21,23.88,200,146.34,2.97
321,111.11,143.31,450.6,200,147.69,15.57,100,147.69,2.42
322,111.36,141.42,446.08,100,145.67,15.76,200,145.67,2.46
323,106.67,142.43,449.91,150,145.91,16.95,0,145.91,2.51
324,108.7,143.65,458.97,200,146.2,16.67,0,146.2,2.63
325,108.33,144.31,472.61,140,146.02,49.03,300,146.02,6.05
326,109.3,143.41,428.42,200,146.82,16.27,0,146.82,2.67
327,109.09,142.61,436.98,150,146,17.32,0,146,2.48
328,106.98,142.76,427.14,100,147.38,16.71,0,147.38,2.46
329,106.98,142.74,426.02,150,146.41,20.4,300,146.54,5.95
330,113.64,143.29,441.79,150,146.71,15.67,100,145.88,2.32
331,104.76,143.44,420.81,400,146.84,16.54,100,146.84,2.44
332,107.5,143.74,404.94,150,148.24,15.92,0,148.37,2.37
333,104.44,143.84,447.3,133.33,148.09,32.41,200,148.09,6.48
334,113.95,143.01,431.23,100,147.26,22.28,0,147.26,2.59
335,104.44,143.93,442.97,300,148.18,15.47,200,147.41,3.08
336,106.67,143.81,447.23,200,147.16,16.86,200,147.16,4.1
337,113.33,144.02,449.88,250,146.5,17.04,0,146.5,2.49
338,109.09,143.77,439.24,150,148.02,16.43,100,148.14,2.49
339,111.36,143.13,446.38,100,147.25,22.56,0,147.25,4.36
340,106.67,141.21,444.04,200,144.58,17.19,0,144.58,2.74
341,109.09,142.29,441.22,150,145.66,16.83,100,145.66,2.73
342,108.7,142.59,458.13,100,146.84,23.65,0,146.84,2.38
343,104.44,142.84,442.26,200,147.59,15.53,100,147.71,2.53
344,115.91,143.54,446.19,150,146.34,15.94,100,146.46,2.72
345,108.89,143.32,457.56,150,147.57,16.2,100,139.38,3.06
346,111.36,142.13,443.38,100,146.38,15.36,0,146.38,2.47
347,107.14,141.41,418.04,300,145.66,14.16,0,145.66,2.59
348,109.52,141.38,424.36,200,144.95,15.01,0,144.95,2.17
349,107.5,141.7,399.6,100,145.95,14.73,0,145.95,2.22
350,109.3,143.02,424.57,400,145.6,16.42,100,145.73,2.34
351,109.09,143.55,438.56,150,145.27,17.14,0,145.27,2.96
352,106.98,143.43,425.97,150,146.78,16.28,0,146.78,2.55
353,106.98,143.45,429.63,200,146.05,16.13,0,146.05,2.36
354,106.82,143.38,440.56,150,147.63,15,200,147.63,3.2
355,118,142.46,503.24,200,146.71,16.47,0,146.52,2.72
356,106.67,142.08,450.02,150,146.46,33.37,300,146.04,5.12
357,108.33,141.4,475.1,200,143.59,26.49,200,143.59,5.69
358,108.51,141.28,470.67,150,145.9,16.31,0,145.9,2.53
359,111.11,141.66,451.69,100,145.91,16.61,100,145.91,2.4
360,106.52,142.8,463.15,200,145.9,18.54,0,145.06,2.48
361,106.67,142.64,446.5,150,146.08,16.65,0,146.08,2.5
362,106.67,142.74,444.66,150,147.61,17.21,0,147.61,2.58
363,106.82,143.37,444.2,100,147.62,16.42,0,147.62,2.48
364,110.87,142.87,465.16,100,147.25,15.64,0,147.25,2.35
365,108.7,143.12,460.08,100,146.11,23.61,0,146.11,2.68
366,111.11,143.27,449.88,125,145.79,33.07,300,145.79,6.18
