"run","proverSetUpCPU","proverSetUpMemory","proverSetUpTime","verifierCPU","verifierMemory","verifierTime","proverDecryptCPU","proverDecryptMemory","proverDecryptTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
24,180.74,1243.87,2531.59,211.89,1037.69,153607.14,104.47,1037.69,251.45,146.7,1037.69,1.03
25,194.75,1231.1,2606.41,213.4,1045.84,149361.22,111.53,1045.84,250.69,181.65,1025.4,0.9
26,193.05,1241.95,2554.43,211.87,1042.11,153659.03,104.56,1042.11,239.89,138.35,1042.11,0.99
27,183.59,1256.74,2551.19,208.45,1049.8,163640.28,114.89,1048.21,245.59,186.05,1025.18,0.87
28,188.99,1241.86,2567.64,213.3,1029.73,148464.49,104.97,1029.73,234.42,139.9,1029.85,0.95
29,179.4,1242.27,2564.38,210.36,1051.45,156652.42,105.12,1025.64,244.27,168.3,1025.64,1.01
30,181.62,1244.27,2551.24,210.56,1041.74,156799.37,113.46,1041.74,250.15,384.3,1025.23,0.99
31,192.56,1238.72,2561.5,214.4,1033.97,146749.1,104.29,1025.54,239.26,152.5,1025.54,0.93
32,192.16,1242.07,2629.77,208.64,1030.42,163553.03,104.76,1030.42,235.41,162.9,1030.42,0.99
33,190.18,1244.64,2557.98,210.9,1048.06,156529.89,105.38,1025.59,235.94,185.05,1025.59,0.94
34,189.65,1239.07,2544.13,207.61,1039.07,166248.72,104.31,1026.75,255.81,302.4,1026.75,1.02
35,192.6,1244.86,2572.05,215.05,1034.8,145394.26,104.21,1034.8,238.89,132.75,1034.8,0.88
36,183.65,1245.13,2528.7,210.9,1029.99,156552.23,104.79,1029.99,244.64,135.1,1030.11,0.97
37,182.61,1242.44,2533.63,209.77,1042.71,158002.05,104.89,1026.58,246.07,295.1,1026.58,1.09
38,183.75,1245.06,2597.68,213.47,1038.67,148295.21,104.8,1026.34,247.64,227.1,1026.34,1.07
39,180.99,1252.01,2583.32,212.35,1030.69,151122.08,104.33,1030.69,244.43,Infinity,1030.69,0.16
40,181.44,1244.9,2563.63,213.04,1038.21,149785.85,104.52,1026.23,245.83,248.9,1026.23,0.87
41,182.29,1244.95,2546.7,212.55,1042.48,151266.24,104.95,1026.21,237.61,263.6,1026.21,1.02
42,185.15,1244.82,2581.15,211.32,1041.84,153809.53,104.68,1026.17,248.2,324.5,1026.17,1.08
43,189.9,1244.93,2622.79,209.57,1038.69,159409.03,104.44,1038.69,242.64,141.65,1038.69,0.92
44,183.63,1245.09,2549.69,209.08,1051.38,161274.37,116.68,1051.13,247.09,195.1,1026.38,0.96
45,190,1244.7,2633.1,209.28,1045.98,160681.85,104.86,1030.68,238.41,167.35,1030.8,1.03
46,183.95,1248.08,2542.23,213.99,1041.88,147060.33,104.78,1026.31,238.73,150.2,1026.31,0.99
47,193.4,1244.89,2559.13,212.17,1052.63,152480.41,104.74,1042.26,243.9,275.5,1042.26,1.04
48,182.74,1260.85,2573.93,207.35,1070.95,165096.93,114.79,1069.04,252.92,202.15,1042.15,0.98
49,189.4,1260.98,2634.77,211.55,1062.7,153934.99,115.54,1062.56,248.38,188.7,1042.27,1.09
50,192.42,1256.29,2604.22,211.86,1054.55,152618.78,104.91,1042.31,236.08,149.15,1042.31,0.96
51,179.91,1258.98,2604.27,214.59,1058.41,145476.1,105.1,1042.23,247.45,178.4,1042.23,1.31
52,195.86,1264.46,2546.16,209.88,1046.3,158083.29,104.26,1042.16,243.74,151.4,1042.16,1.03
53,179.66,1260.95,2575.79,209.19,1062.5,160873.05,105.42,1042.43,245.88,182.9,1042.43,1.04
54,181.97,1261.09,2545.41,211.01,1054.8,155273.84,103.84,1054.8,243.28,297.1,1054.8,1.01
55,185.59,1258.04,2596.36,207.45,1055.07,164906.81,104.34,1055.07,243.17,144.8,1055.07,0.17
56,179.81,1258.91,2560.95,214.75,1054.72,145494.83,104.72,1042.62,240.34,149.5,1042.62,0.93
57,178.66,1261.31,2601.07,212.51,1046.77,151021.01,104.22,1046.61,240.19,166.1,1046.61,1.05
58,190.96,1261.14,2567.68,210.88,1066.1,155197.15,104.97,1042.63,245.2,140.05,1042.63,1.05
59,184.08,1261.13,2529.67,211.78,1047.01,152363.83,104.53,1043.12,244.98,318.8,1043.12,1.12
60,181.81,1261.42,2556.62,213.02,1050.91,149703.6,104.76,1042.84,247.74,147.15,1042.84,1.06
61,188.91,1261.47,2625.48,211.48,1075.75,153881.68,114.12,1075.75,248.57,311.1,1050.9,0.94
62,189.24,1261.37,2631.64,210.07,1050.54,157974.41,104.26,1042.33,244.55,156,1042.33,0.95
63,182.87,1261.04,2540.39,208.62,1042.38,162375.79,104.41,1042.38,245.51,165.9,1042.38,1.1
64,182.14,1261.21,2552.82,211.33,1054.81,155243.71,104.37,1054.81,241.98,152.9,1054.81,1.12
65,182.72,1259.2,2607.13,211.08,1055.06,156583.38,104.07,1055.06,259.8,136.65,1055.19,0.86
66,194.86,1261.43,2619.64,212.67,1058.93,150916.21,114.55,1046.71,248.45,171.25,1042.74,0.88
67,187.39,1259.4,2580.92,211.11,1058.96,155149.03,114.42,1054.68,243.06,167.95,1042.43,0.94
68,190.99,1252.71,2563.67,213.49,1071,148311.77,115.21,1066.87,243.71,438.8,1042.39,0.96
69,180.05,1261.23,2534.39,213.1,1083.26,149498.25,104.54,1058.68,252.73,166.8,1058.68,1.09
70,191.78,1277.15,2583.05,210.8,1070.63,155198.73,104.62,1070.63,244.3,162.6,1070.63,1.05
71,193.46,1274.73,2609.68,208.51,1063.25,162465.84,104.14,1063.37,244.14,142.1,1063.37,0.94
72,178.6,1277.5,2585.21,209.15,1091.27,160912.6,112.56,1091.39,239.92,569.7,1062.66,1.02
73,183.59,1277.23,2594.17,213.08,1066.63,149547.87,104.72,1066.63,246.7,Infinity,1066.63,0.15
74,190.51,1277.28,2617.14,207.79,1063.43,165013.84,104.46,1063.43,237.16,151.45,1063.43,1.08
75,184.79,1277.55,2540.08,209.28,1067.17,160909,104.32,1067.17,244.54,305,1067.17,0.93
76,185.84,1277.21,2585.42,209.47,1095.93,160511,112.81,1095.53,257.39,324.5,1058.91,0.95
77,192,1277.54,2602.97,210.64,1058.35,156572.92,104.04,1058.35,244.31,289.1,1058.47,1.03
78,180.79,1277.46,2568.94,211.44,1063.18,155046.7,104.21,1063.18,251.4,154.9,1063.18,0.97
79,192.17,1288.1,2588.19,210,1063.11,158001.75,104.35,1062.97,237.63,248.5,1062.97,0.96
80,180.58,1277.44,2580.12,206.81,1058.98,167632.41,104.3,1058.83,240.34,159.35,1058.83,1.09
81,192.95,1275.48,2625.64,213.76,1066.9,148073.08,104.9,1058.73,242.43,285.4,1058.73,0.97
82,192.1,1277.62,2596.2,211.98,1087.61,152305.29,111.94,1083.64,244.76,414.1,1058.83,1.08
83,183.99,1277.53,2505.22,211.48,1087.58,154890.08,109.41,1087.58,260.34,262.9,1062.75,1.06
84,190.94,1277.25,2629.25,209.48,1058.42,160629.42,104.49,1058.42,240.58,155.35,1058.42,0.98
85,182.63,1277.24,2565.29,210.79,1087.13,156549.28,115.85,1080.27,248.86,389.5,1058.92,0.98
86,192.67,1272.08,2615.29,207.55,1071.81,165199.09,104.4,1058.65,241.04,131.75,1058.65,0.92
87,181.46,1277.44,2537.6,210.71,1083.38,156581,107.64,1083.38,246.18,185.4,1071.22,0.13
88,183.61,1277.44,2568.67,209.44,1083.79,160705.04,116.54,1081.54,245.64,224.45,1059.05,1.21
89,187.55,1277.72,2625.01,208.66,1087.77,163833.4,101.21,1058.77,242.68,287,1058.77,1.01
90,192.2,1277.45,2571.02,208.63,1074.8,163435.96,104.49,1058.57,239.34,161.25,1058.57,1.02
91,181.94,1277.46,2547.21,210.56,1087.91,156582.83,116.01,1087.78,239.41,207.65,1058.79,0.95
92,183.03,1277.49,2511.6,215.19,1075.3,145407.36,105.32,1059,244.51,137.3,1059,0.96
93,188.34,1275.38,2625.37,208.14,1091.87,164779.79,113.28,1086.73,248.38,435.2,1059.16,0.98
94,191.62,1275.39,2628.96,215.98,1087.56,143864.32,104.89,1075.46,238.07,156.45,1075.46,1.13
95,185.91,1294.32,2613.98,209.1,1088.3,160776.3,104.1,1088.3,244.74,147.45,1088.3,0.95
96,189.37,1308.44,2610.27,208.25,1100.36,164763.32,104.84,1075.65,244.19,288.8,1075.65,0.96
97,179.7,1294.53,2566.19,211.59,1092.41,153906.95,104.15,1092.54,249.45,145.45,1092.54,0.94
98,190.22,1294.66,2639.04,208.54,1084.52,163415.28,104.3,1084.52,244.73,148.9,1084.52,1.01
99,185.74,1294.6,2623.32,210.44,1087.96,157863,104.66,1087.96,239.35,263.2,1087.96,1.02
100,184.62,1294.48,2571.54,211.7,1100.25,154852.11,115.39,1096.16,240.62,376.5,1075.66,0.98
101,185.94,1294.37,2596.03,216.51,1084.36,142555.92,104.18,1084.36,243.41,131.6,1084.36,1
102,181.55,1294.39,2583.51,208.79,1104.99,165869.02,112.95,1096.79,248.07,416,1076.46,0.93
103,185.04,1294.54,2593.85,215.28,1092.07,144211.56,113.29,1087.87,247.63,340.2,1075.58,0.91
104,186.81,1289.87,2558,212.06,1109.08,153666.41,101.74,1075.99,245.6,286.2,1075.99,1.14
105,185.1,1288.95,2572.55,211.28,1087.99,156480.83,104.69,1087.99,244.72,156.45,1087.99,0.99
106,180.79,1294.3,2525.04,205.82,1080.25,170664,104.5,1080.38,243.85,284.6,1080.38,1
